,DELAY BETWEEN RATES (ms),Batch Size,Number of Batches (per run),Number of runs,Delay Increment,Batch Size Increment,,,,,,
FX,2,FXFWD,1Y,,SIMU,EUR,USD,0.009278,0.009453,Market,0,A
FX,2,FXFWD,18M,,SIMU,EUR,USD,0.017408,0.017958,Market,0,A
FX,2,FXFWD,ON,,SIMU,EUR,USD,0.000013,0.000015,Market,0,A
FX,2,FXFWD,SN,,SIMU,EUR,USD,0.000012,0.000014,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.1308,1.1109,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,USD,0.000013,0.000014,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,JPY,-0.447,-0.424,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,JPY,-0.068,-0.06,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,JPY,-1.207,-1.176,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,JPY,-0.155,-0.137,Market,0,A
FX,2,FXFWD,2Y,,SIMU,USD,JPY,-34.55,-33.863,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,JPY,-1.784,-1.749,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,JPY,-0.192,-0.174,Market,0,A
FX,2,FXFWD,4M,,SIMU,USD,JPY,-2.373,-2.327,Market,0,A
FX,2,FXFWD,5M,,SIMU,USD,JPY,-3.899,-3.789,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,JPY,-4.634,-4.524,Market,0,A
FX,2,FXFWD,7M,,SIMU,USD,JPY,-4.216,-4.108,Market,0,A
FX,2,FXFWD,8M,,SIMU,USD,JPY,-6.545,-6.445,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,JPY,-7.519,-7.371,Market,0,A
FX,2,FXFWD,10M,,SIMU,USD,JPY,-8.601,-8.446,Market,0,A
FX,2,FXFWD,11M,,SIMU,USD,JPY,-9.996,-9.837,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,JPY,-11.305,-11.094,Market,0,A
FX,2,FXFWD,18M,,SIMU,USD,JPY,-21.688,-21.288,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,JPY,-0.009,-0.005,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,124.328,124.335,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,JPY,-0.009,-0.002,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.00348,-0.00338,Market,0,A
FX,2,FXFWD,1W,,SIMU,GBP,USD,-0.00074,-0.0007,Market,0,A
FX,2,FXFWD,2M,,SIMU,GBP,USD,-0.00565,-0.00539,Market,0,A
FX,2,FXFWD,2W,,SIMU,GBP,USD,-0.00149,-0.00141,Market,0,A
FX,2,FXFWD,2Y,,SIMU,GBP,USD,-0.01,-0.001,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.00805,-0.00767,Market,0,A
FX,2,FXFWD,3W,,SIMU,GBP,USD,-0.00224,-0.00215,Market,0,A
FX,2,FXFWD,4M,,SIMU,GBP,USD,-0.01071,-0.01031,Market,0,A
FX,2,FXFWD,5M,,SIMU,GBP,USD,-0.01186,-0.01137,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.01386,-0.01316,Market,0,A
FX,2,FXFWD,7M,,SIMU,GBP,USD,-0.01619,-0.01444,Market,0,A
FX,2,FXFWD,8M,,SIMU,GBP,USD,-0.01707,-0.01507,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.01767,-0.01633,Market,0,A
FX,2,FXFWD,10M,,SIMU,GBP,USD,-0.0187,-0.0173,Market,0,A
FX,2,FXFWD,11M,,SIMU,GBP,USD,-0.01922,-0.01778,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.01958,-0.01808,Market,0,A
FX,2,FXFWD,18M,,SIMU,GBP,USD,-0.01678,-0.00828,Market,0,A
FX,2,FXFWD,ON,,SIMU,GBP,USD,-0.00017,-0.00006,Market,0,A
FX,2,FXFWD,SN,,SIMU,GBP,USD,-0.00014,-0.00007,Market,0,A
FX,2,FXSPOT,SP,,SIMU,GBP,USD,1.2928,1.2929,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.00011,-0.0001,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.000249,0.00027,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.000057,0.000066,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.000397,0.000424,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,CAD,0.000112,0.000126,Market,0,A
FX,2,FXFWD,2Y,,SIMU,USD,CAD,-0.008335,-0.007535,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.0005,0.000534,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,CAD,0.000172,0.000185,Market,0,A
FX,2,FXFWD,4M,,SIMU,USD,CAD,0.000575,0.000635,Market,0,A
FX,2,FXFWD,5M,,SIMU,USD,CAD,0.000595,0.00065,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.000557,0.000634,Market,0,A
FX,2,FXFWD,7M,,SIMU,USD,CAD,0.00052,0.000626,Market,0,A
FX,2,FXFWD,8M,,SIMU,USD,CAD,0.000363,0.000495,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.00013,0.000341,Market,0,A
FX,2,FXFWD,10M,,SIMU,USD,CAD,-0.000067,0.000131,Market,0,A
FX,2,FXFWD,11M,,SIMU,USD,CAD,-0.00035,-0.000134,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,-0.001045,-0.000205,Market,0,A
FX,2,FXFWD,18M,,SIMU,USD,CAD,-0.004145,-0.003445,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,CAD,0.000006,0.000014,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.3125,1.3126,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,CAD,0.000008,0.00001,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.001277,-0.001264,Market,0,A
FX,2,FXFWD,1W,,SIMU,AUD,USD,-0.000272,-0.000264,Market,0,A
FX,2,FXFWD,2M,,SIMU,AUD,USD,-0.002397,-0.002373,Market,0,A
FX,2,FXFWD,2W,,SIMU,AUD,USD,-0.000551,-0.000532,Market,0,A
FX,2,FXFWD,2Y,,SIMU,AUD,USD,-0.0196,-0.0173,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.003538,-0.00351,Market,0,A
FX,2,FXFWD,3W,,SIMU,AUD,USD,-0.000833,-0.000811,Market,0,A
FX,2,FXFWD,4M,,SIMU,AUD,USD,-0.00466,-0.004608,Market,0,A
FX,2,FXFWD,5M,,SIMU,AUD,USD,-0.005706,-0.005601,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.006733,-0.006623,Market,0,A
FX,2,FXFWD,7M,,SIMU,AUD,USD,-0.007733,-0.007578,Market,0,A
FX,2,FXFWD,8M,,SIMU,AUD,USD,-0.008655,-0.008491,Market,0,A
FX,2,FXFWD,9M,,SIMU,AUD,USD,-0.009545,-0.009375,Market,0,A
FX,2,FXFWD,10M,,SIMU,AUD,USD,-0.010502,-0.010297,Market,0,A
FX,2,FXFWD,11M,,SIMU,AUD,USD,-0.011328,-0.011116,Market,0,A
FX,2,FXFWD,1Y,,SIMU,AUD,USD,-0.0122,-0.012,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,-0.000094,-0.000091,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.000038,-0.000034,Market,0,A
FX,2,FXSPOT,SP,,SIMU,AUD,USD,0.7367,0.7367,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,-0.000039,-0.000035,Market,0,A
FX,2,FXFWD,1M,,SIMU,EUR,GBP,0.0046,0.00469,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,GBP,0.00092,0.00098,Market,0,A
FX,2,FXFWD,2M,,SIMU,EUR,GBP,0.00875,0.00896,Market,0,A
FX,2,FXFWD,2W,,SIMU,EUR,GBP,0.00187,0.00197,Market,0,A
FX,2,FXFWD,2Y,,SIMU,EUR,GBP,0.175,0.188,Market,0,A
FX,2,FXFWD,3M,,SIMU,EUR,GBP,0.01362,0.01382,Market,0,A
FX,2,FXFWD,3W,,SIMU,EUR,GBP,0.00285,0.00294,Market,0,A
FX,2,FXFWD,4M,,SIMU,EUR,GBP,0.01889,0.01926,Market,0,A
FX,2,FXFWD,5M,,SIMU,EUR,GBP,0.02353,0.02405,Market,0,A
FX,2,FXFWD,6M,,SIMU,EUR,GBP,0.027,0.033,Market,0,A
FX,2,FXFWD,7M,,SIMU,EUR,GBP,0.03444,0.03687,Market,0,A
FX,2,FXFWD,8M,,SIMU,EUR,GBP,0.0407,0.0433,Market,0,A
FX,2,FXFWD,9M,,SIMU,EUR,GBP,0.04693,0.04813,Market,0,A
FX,2,FXFWD,10M,,SIMU,EUR,GBP,0.05372,0.05516,Market,0,A
FX,2,FXFWD,11M,,SIMU,EUR,GBP,0.0609,0.063,Market,0,A
FX,2,FXFWD,1Y,,SIMU,EUR,GBP,0.06552,0.07117,Market,0,A
FX,2,FXFWD,18M,,SIMU,EUR,GBP,0.11905,0.12155,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.7108,0.7109,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,GBP,0.00013,0.00014,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CNY,0.006,0.006,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,CNY,0.0005,0.002,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,CNY,0.0008,0.0015,Market,0,A
FX,2,FXFWD,ON,,SIMU,USD,CNY,-0.0005,-0.0004,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CNY,6.3908,6.3918,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,CNY,-0.0003,-0.0002,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,CHF,-0.00003131,-0.00002727,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CHF,0.985457,0.985457,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,CHF,-0.000030502,-0.000028482,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.00103525,-0.00100495,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.00021513,-0.000202,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.00204626,-0.00196546,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,CHF,-0.00043329,-0.00041814,Market,0,A
FX,2,FXFWD,2Y,,SIMU,USD,CHF,-0.03992328,-0.03719628,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.0031916,-0.0030704,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,CHF,-0.00064943,-0.00062923,Market,0,A
FX,2,FXFWD,3Y,,SIMU,USD,CHF,-0.06722257,-0.0643774,Market,0,A
FX,2,FXFWD,4M,,SIMU,USD,CHF,-0.00433896,-0.00426321,Market,0,A
FX,2,FXFWD,4Y,,SIMU,USD,CHF,-0.09597525,-0.09148075,Market,0,A
FX,2,FXFWD,5M,,SIMU,USD,CHF,-0.00567014,-0.00549137,Market,0,A
FX,2,FXFWD,5Y,,SIMU,USD,CHF,-0.12524,-0.118069,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.0070195,-0.006767,Market,0,A
FX,2,FXFWD,7M,,SIMU,USD,CHF,-0.00835977,-0.00820827,Market,0,A
FX,2,FXFWD,8M,,SIMU,USD,CHF,-0.00970206,-0.00952531,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CHF,-0.01115343,-0.01095143,Market,0,A
FX,2,FXFWD,10M,,SIMU,USD,CHF,-0.01271489,-0.01248764,Market,0,A
FX,2,FXFWD,11M,,SIMU,USD,CHF,-0.01426019,-0.01398244,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.01595194,-0.01564894,Market,0,A
FX,2,FXFWD,18M,,SIMU,USD,CHF,-0.02790125,-0.02562875,Market,0,A
FX,2,FXFWD,1M,,SIMU,EUR,USD,0.00048076,0.00049288,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,USD,0.00009393,0.00010302,Market,0,A
FX,2,FXFWD,2M,,SIMU,EUR,USD,0.0009898,0.00101303,Market,0,A
FX,2,FXFWD,2W,,SIMU,EUR,USD,0.00019089,0.00020604,Market,0,A
FX,2,FXFWD,2Y,,SIMU,EUR,USD,0.0267347,0.0283002,Market,0,A
FX,2,FXFWD,3M,,SIMU,EUR,USD,0.00158671,0.00160691,Market,0,A
FX,2,FXFWD,3W,,SIMU,EUR,USD,0.0002929,0.00030502,Market,0,A
FX,2,FXFWD,4M,,SIMU,EUR,USD,0.00223008,0.00228058,Market,0,A
FX,2,FXFWD,5M,,SIMU,EUR,USD,0.0028785,0.00300475,Market,0,A
FX,2,FXFWD,6M,,SIMU,EUR,USD,0.003636,0.0037875,Market,0,A
FX,2,FXFWD,7M,,SIMU,EUR,USD,0.00446218,0.00452278,Market,0,A
FX,2,FXFWD,8M,,SIMU,EUR,USD,0.00528129,0.0054237,Market,0,A
FX,2,FXFWD,9M,,SIMU,EUR,USD,0.00619433,0.00634785,Market,0,A
FX,2,FXFWD,10M,,SIMU,EUR,USD,0.00721948,0.00738613,Market,0,A
FX,2,FXFWD,11M,,SIMU,EUR,USD,0.00822948,0.00841936,Market,0,A
FX,2,FXFWD,1Y,,SIMU,EUR,USD,0.00937078,0.00954753,Market,0,A
FX,2,FXFWD,18M,,SIMU,EUR,USD,0.01758208,0.01813758,Market,0,A
FX,2,FXFWD,ON,,SIMU,EUR,USD,0.00001313,0.00001515,Market,0,A
FX,2,FXFWD,SN,,SIMU,EUR,USD,0.00001212,0.00001414,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.131908,1.122009,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,USD,0.00001313,0.00001414,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,JPY,-0.45147,-0.42824,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,JPY,-0.06868,-0.0606,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,JPY,-1.21907,-1.18776,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,JPY,-0.15655,-0.13837,Market,0,A
FX,2,FXFWD,2Y,,SIMU,USD,JPY,-34.8955,-34.20163,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,JPY,-1.80184,-1.76649,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,JPY,-0.19392,-0.17574,Market,0,A
FX,2,FXFWD,4M,,SIMU,USD,JPY,-2.39673,-2.35027,Market,0,A
FX,2,FXFWD,5M,,SIMU,USD,JPY,-3.93799,-3.82689,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,JPY,-4.68034,-4.56924,Market,0,A
FX,2,FXFWD,7M,,SIMU,USD,JPY,-4.25816,-4.14908,Market,0,A
FX,2,FXFWD,8M,,SIMU,USD,JPY,-6.61045,-6.50945,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,JPY,-7.59419,-7.44471,Market,0,A
FX,2,FXFWD,10M,,SIMU,USD,JPY,-8.68701,-8.53046,Market,0,A
FX,2,FXFWD,11M,,SIMU,USD,JPY,-10.09596,-9.93537,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,JPY,-11.41805,-11.20494,Market,0,A
FX,2,FXFWD,18M,,SIMU,USD,JPY,-21.90488,-21.50088,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,JPY,-0.00909,-0.00505,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,125.57128,125.57835,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,JPY,-0.00909,-0.00202,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.0035148,-0.0034138,Market,0,A
FX,2,FXFWD,1W,,SIMU,GBP,USD,-0.0007474,-0.000707,Market,0,A
FX,2,FXFWD,2M,,SIMU,GBP,USD,-0.0057065,-0.0054439,Market,0,A
FX,2,FXFWD,2W,,SIMU,GBP,USD,-0.0015049,-0.0014241,Market,0,A
FX,2,FXFWD,2Y,,SIMU,GBP,USD,-0.0101,-0.00101,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.0081305,-0.0077467,Market,0,A
FX,2,FXFWD,3W,,SIMU,GBP,USD,-0.0022624,-0.0021715,Market,0,A
FX,2,FXFWD,4M,,SIMU,GBP,USD,-0.0108171,-0.0104131,Market,0,A
FX,2,FXFWD,5M,,SIMU,GBP,USD,-0.0119786,-0.0114837,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.0139986,-0.0132916,Market,0,A
FX,2,FXFWD,7M,,SIMU,GBP,USD,-0.0163519,-0.0145844,Market,0,A
FX,2,FXFWD,8M,,SIMU,GBP,USD,-0.0172407,-0.0152207,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.0178467,-0.0164933,Market,0,A
FX,2,FXFWD,10M,,SIMU,GBP,USD,-0.018887,-0.017473,Market,0,A
FX,2,FXFWD,11M,,SIMU,GBP,USD,-0.0194122,-0.0179578,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.0197758,-0.0182608,Market,0,A
FX,2,FXFWD,18M,,SIMU,GBP,USD,-0.0169478,-0.0083628,Market,0,A
FX,2,FXFWD,ON,,SIMU,GBP,USD,-0.0001717,-0.0000606,Market,0,A
FX,2,FXFWD,SN,,SIMU,GBP,USD,-0.0001414,-0.0000707,Market,0,A
FX,2,FXSPOT,SP,,SIMU,GBP,USD,1.578428,1.578529,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.0001111,-0.000101,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.00025149,0.0002727,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.00005757,0.00006666,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.00040097,0.00042824,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,CAD,0.00011312,0.00012726,Market,0,A
FX,2,FXFWD,2Y,,SIMU,USD,CAD,-0.00841835,-0.00761035,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.000505,0.00053934,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,CAD,0.00017372,0.00018685,Market,0,A
FX,2,FXFWD,4M,,SIMU,USD,CAD,0.00058075,0.00064135,Market,0,A
FX,2,FXFWD,5M,,SIMU,USD,CAD,0.00060095,0.0006565,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.00056257,0.00064034,Market,0,A
FX,2,FXFWD,7M,,SIMU,USD,CAD,0.0005252,0.00063226,Market,0,A
FX,2,FXFWD,8M,,SIMU,USD,CAD,0.00036663,0.00049995,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.0001313,0.00034441,Market,0,A
FX,2,FXFWD,10M,,SIMU,USD,CAD,-0.00006767,0.00013231,Market,0,A
FX,2,FXFWD,11M,,SIMU,USD,CAD,-0.0003535,-0.00013534,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,-0.00105545,-0.00020705,Market,0,A
FX,2,FXFWD,18M,,SIMU,USD,CAD,-0.00418645,-0.00347945,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,CAD,0.00000606,0.00001414,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.325625,1.325726,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,CAD,0.00000808,0.0000101,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.00128977,-0.00127664,Market,0,A
FX,2,FXFWD,1W,,SIMU,AUD,USD,-0.00027472,-0.00026664,Market,0,A
FX,2,FXFWD,2M,,SIMU,AUD,USD,-0.00242097,-0.00239673,Market,0,A
FX,2,FXFWD,2W,,SIMU,AUD,USD,-0.00055651,-0.00053732,Market,0,A
FX,2,FXFWD,2Y,,SIMU,AUD,USD,-0.019796,-0.017473,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.00357338,-0.0035451,Market,0,A
FX,2,FXFWD,3W,,SIMU,AUD,USD,-0.00084133,-0.00081911,Market,0,A
FX,2,FXFWD,4M,,SIMU,AUD,USD,-0.0047066,-0.00465408,Market,0,A
FX,2,FXFWD,5M,,SIMU,AUD,USD,-0.00576306,-0.00565701,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.00680033,-0.00668923,Market,0,A
FX,2,FXFWD,7M,,SIMU,AUD,USD,-0.00781033,-0.00765378,Market,0,A
FX,2,FXFWD,8M,,SIMU,AUD,USD,-0.00874155,-0.00857591,Market,0,A
FX,2,FXFWD,9M,,SIMU,AUD,USD,-0.00964045,-0.00946875,Market,0,A
FX,2,FXFWD,10M,,SIMU,AUD,USD,-0.01060702,-0.01039997,Market,0,A
FX,2,FXFWD,11M,,SIMU,AUD,USD,-0.01144128,-0.01122716,Market,0,A
FX,2,FXFWD,1Y,,SIMU,AUD,USD,-0.012322,-0.01212,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,-0.00009494,-0.00009191,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.00003838,-0.00003434,Market,0,A
FX,2,FXSPOT,SP,,SIMU,AUD,USD,0.744067,0.744067,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,-0.00003939,-0.00003535,Market,0,A
FX,2,FXFWD,1M,,SIMU,EUR,GBP,0.004646,0.0047369,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,GBP,0.0009292,0.0009898,Market,0,A
FX,2,FXFWD,2M,,SIMU,EUR,GBP,0.0088375,0.0090496,Market,0,A
FX,2,FXFWD,2W,,SIMU,EUR,GBP,0.0018887,0.0019897,Market,0,A
FX,2,FXFWD,2Y,,SIMU,EUR,GBP,0.17675,0.18988,Market,0,A
FX,2,FXFWD,3M,,SIMU,EUR,GBP,0.0137562,0.0139582,Market,0,A
FX,2,FXFWD,3W,,SIMU,EUR,GBP,0.0028785,0.0029694,Market,0,A
FX,2,FXFWD,4M,,SIMU,EUR,GBP,0.0190789,0.0194526,Market,0,A
FX,2,FXFWD,5M,,SIMU,EUR,GBP,0.0237653,0.0242905,Market,0,A
FX,2,FXFWD,6M,,SIMU,EUR,GBP,0.02727,0.03333,Market,0,A
FX,2,FXFWD,7M,,SIMU,EUR,GBP,0.0347844,0.0372387,Market,0,A
FX,2,FXFWD,8M,,SIMU,EUR,GBP,0.041107,0.043733,Market,0,A
FX,2,FXFWD,9M,,SIMU,EUR,GBP,0.0473993,0.0486113,Market,0,A
FX,2,FXFWD,10M,,SIMU,EUR,GBP,0.0542572,0.0557116,Market,0,A
FX,2,FXFWD,11M,,SIMU,EUR,GBP,0.061509,0.06363,Market,0,A
FX,2,FXFWD,1Y,,SIMU,EUR,GBP,0.0661752,0.0718817,Market,0,A
FX,2,FXFWD,18M,,SIMU,EUR,GBP,0.1202405,0.1227655,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.717908,0.718009,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,GBP,0.0001313,0.0001414,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CNY,0.00606,0.00606,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,CNY,0.000505,0.00202,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,CNY,0.000808,0.001515,Market,0,A
FX,2,FXFWD,ON,,SIMU,USD,CNY,-0.000505,-0.000404,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CNY,6.454708,6.455718,Market,0,A
